"Nome","l0","l1","l2","Genero","ConfId","Posicao"
"Ângela Vilhena Dias","GreaterEuropean","WestEuropean","Hispanic","F","conf/iccv/OliveiraD07",1
"Ângelo Magno de Jesus","GreaterEuropean","WestEuropean","Hispanic","M","conf/www/PereiraDSDMMJF13",6
"Ólafur Ragnar Helgason","GreaterEuropean","WestEuropean","Nordic","M","conf/sigcomm/HelgasonYKPK10",0
"Óscar Corcho","GreaterEuropean","WestEuropean","Hispanic","M","conf/www/CorchoLG06",0
"Óscar Corcho","GreaterEuropean","WestEuropean","Hispanic","M","conf/edbt/BelhajjameZGGSAC13",6
"Óscar Corcho","GreaterEuropean","WestEuropean","Hispanic","M","conf/alt/GobleCAR06",1
"Óscar Corcho","GreaterEuropean","WestEuropean","Hispanic","M","conf/www/GarijoMC15",2
"Óscar Corcho","GreaterEuropean","WestEuropean","Hispanic","M","conf/www/PriyatnaCS14",1
"Óscar González de Dios","GreaterEuropean","WestEuropean","Hispanic","M","conf/infocom/CallegatiAWACGFGKDHKMORRSTV06",9
"Óscar Martínez Mozos","GreaterEuropean","WestEuropean","Hispanic","M","conf/ijcai/TriebelSMB07",2
"Óscar Martínez Mozos","GreaterEuropean","WestEuropean","Hispanic","M","conf/aaai/ZenderJMKB07",2
"Óscar Martínez Mozos","GreaterEuropean","WestEuropean","Hispanic","M","conf/aaai/RottmannMSB05",1
"Óscar Moya","GreaterEuropean","WestEuropean","Hispanic","M","conf/infocom/LadoczkiFMBTG15",2
"Óscar Pérez","GreaterEuropean","WestEuropean","Hispanic","M","conf/cvpr/PiccardiP07",1
"Óscar Sánchez Ramón","GreaterEuropean","WestEuropean","Hispanic","M","conf/kbse/RamonCM10",0
"Óscar Sánchez Ramón","GreaterEuropean","WestEuropean","Hispanic","M","conf/wcre/RamonCM11",0
"Àgata Lapedriza","GreaterAfrican","Africans","\N","F","conf/cvpr/LapedrizaMV08",0
"Àgata Lapedriza","GreaterAfrican","Africans","\N","F","conf/cvpr/ZhouKLOT16",2
"Àgata Lapedriza","GreaterAfrican","Africans","\N","F","conf/cvpr/LapedrizaMV05",0
"Àngel J. Gil","GreaterEuropean","WestEuropean","Hispanic","M","conf/cade/GilHSZ04",0
"Åke Arvidsson","GreaterEuropean","British","\N","M","conf/sigmetrics/ArvidssonZ13",0
"Åsa Unander-Scharin","GreaterEuropean","British","\N","F","conf/chi/ElblausUU16",1
"Åsa Unander-Scharin","GreaterEuropean","British","\N","F","conf/chi/Unander-ScharinUH14",1
"Åsa Unander-Scharin","GreaterEuropean","British","\N","F","conf/chi/Unander-ScharinUHE14",1
"Åsa Wendelbo Hansson","GreaterEuropean","Jewish","\N","F","conf/chi/WebergBH01",2
"Çagdas Karatas","Asian","IndianSubContinent","\N","M","conf/infocom/KaratasLLLWT0CG16",0
"Çagil Tasdemir","GreaterAfrican","Muslim","\N","M","conf/lfcs/Tasdemir13",0
"Çaglar Gülçehre","GreaterAfrican","Muslim","\N","M","conf/acl/GulcehreANZB16",0
"Çaglar Gülçehre","GreaterAfrican","Muslim","\N","M","conf/acl/SerbanGGACCB16",2
"Çaglar Gülçehre","GreaterAfrican","Muslim","\N","M","conf/icml/ChungGCB15",1
"Çaglar Gülçehre","GreaterAfrican","Muslim","\N","M","conf/icml/GulcehreMDB16",0
"Çaglar Genç","GreaterAfrican","Muslim","\N","M","conf/chi/GencSDOBUO16",0
"Çetin Meriçli","GreaterAfrican","Muslim","\N","M","conf/icse/TurhanBHMMM15",4
"Çetin Meriçli","GreaterAfrican","Muslim","\N","M","conf/aaai/MericliV10a",0
"Çetin Meriçli","GreaterAfrican","Muslim","\N","M","conf/aaai/MericliV10",0
"Çigdem Aslay","GreaterAfrican","Muslim","\N","F","conf/edbt/AslayBBB14",0
"Çigdem Aslay","GreaterAfrican","Muslim","\N","F","conf/sigir/AslayOAJ13",0
"Çigdem Eroglu Erdem","GreaterAfrican","Muslim","\N","F","conf/cvpr/ErdemST01",0
"Çigdem Gencel","GreaterEuropean","WestEuropean","Italian","F","conf/kbse/PetersenGABB14",1
